datetime,Carbon Intensity (kgC02eq/kWh),"Radiation Intensity, I","Temperature,T (deg)",PV Generation (kWh),Building Electricity Cost (NTD/kWh),Vehicle Electricity Cost (NTD/kWh),Available,energy (kWh)
2024-01-29 00:00:00,0.489962186389431,0.0,8.928166666666666,0.0,1.85,1.95,34.0,10.48
2024-01-29 01:00:00,0.485909089595339,0.0,8.571666666666667,0.0,1.85,1.95,40.0,10.92
2024-01-29 02:00:00,0.486051395540636,0.0,8.463333333333333,0.0,1.85,1.95,42.0,9.96
2024-01-29 03:00:00,0.485644211743087,0.0,8.123166666666666,0.0,1.85,1.95,42.0,10.42
2024-01-29 04:00:00,0.488353054705284,0.0,8.436416666666666,0.0,1.85,1.95,42.0,11.56
2024-01-29 05:00:00,0.488100161513833,0.0,8.406583333333332,0.0,1.85,1.95,40.0,11.98
2024-01-29 06:00:00,0.488080084457591,0.0,8.105416666666667,0.0,4.77,1.95,40.0,10.41
2024-01-29 07:00:00,0.475252897564935,1.19824416,8.29175,0.031721213291528855,4.77,1.95,34.0,13.81
2024-01-29 08:00:00,0.452241362140843,45.64099472,9.060833333333331,1.203969669150801,4.77,1.95,26.0,21.93
2024-01-29 09:00:00,0.434137062942718,276.62224352,11.098,7.228213446457981,4.77,1.95,16.0,26.84
2024-01-29 10:00:00,0.42074823603825,189.162362079999,11.81825,4.926219686787611,4.77,1.95,24.0,25.9
2024-01-29 11:00:00,0.410694246315326,267.47578832,14.656166666666664,6.872951583190505,1.85,1.95,22.0,28.52
2024-01-29 12:00:00,0.418858403791948,644.98099104,15.406583333333332,16.514049293984954,1.85,1.95,22.0,27.59
2024-01-29 13:00:00,0.417613212402943,684.478944799999,15.348999999999998,17.530167092505284,1.85,1.95,30.0,30.13
2024-01-29 14:00:00,0.423944295339409,38.4209056,12.103666666666667,0.9992284781096019,4.77,1.95,50.0,30.9
2024-01-29 15:00:00,0.438283147641296,33.49124352,12.196916666666668,0.8706391924399852,4.77,8.13,36.0,31.76
2024-01-29 16:00:00,0.451323570117918,26.75664784,12.198166666666667,0.6955623913274507,4.77,8.13,22.0,29.4
2024-01-29 17:00:00,0.466816704974105,9.28290416,12.026166666666668,0.2415122358867273,4.77,8.13,24.0,28.41
2024-01-29 18:00:00,0.467549144517803,0.0,11.82275,0.0,4.77,8.13,16.0,26.08
2024-01-29 19:00:00,0.469786330457083,0.0,11.70041666666667,0.0,4.77,8.13,16.0,23.28
2024-01-29 20:00:00,0.472962375733054,0.0,11.408583333333333,0.0,4.77,8.13,20.0,16.09
2024-01-29 21:00:00,0.478386050692959,0.0,11.002333333333334,0.0,4.77,1.95,30.0,15.44
2024-01-29 22:00:00,0.484123080243326,0.0,9.997,0.0,4.77,1.95,30.0,9.82
2024-01-29 23:00:00,0.486877142457313,0.0,9.305250000000004,0.0,4.77,1.95,22.0,8.75
2024-01-30 00:00:00,0.493098905569683,0.0,8.928166666666666,0.0,1.85,1.95,28.0,8.69
2024-01-30 01:00:00,0.497903171252916,0.0,8.571666666666667,0.0,1.85,1.95,28.0,8.26
2024-01-30 02:00:00,0.503504302386765,0.0,8.463333333333333,0.0,1.85,1.95,36.0,9.56
2024-01-30 03:00:00,0.5066689423511,0.0,8.123166666666666,0.0,1.85,1.95,36.0,9.17
