時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0~1,11.75,50.65,5.24,25.08,0.33,0.13,10.48,5.27,1.7,82.18,2.66,20.24,59.28,1.08,0.59,0.16,33.4,32.85,27.62,2.22,3.65,2.75,4.41,0.85,143.53,4.78,54.26,65.87,2024-01-29 00:00:00
1~2,10.06,49.94,5.03,24.8,0.32,0.15,10.92,5.11,1.65,79.26,2.62,19.75,56.89,1.05,0.6,0.17,25.15,26.78,23.72,2.22,3.66,3.04,4.41,0.67,143.81,4.72,54.87,65.5,2024-01-29 01:00:00
2~3,8.13,49.63,5.16,24.2,0.33,0.14,9.96,5.23,1.69,80.93,2.6,20.11,58.22,1.11,0.61,0.16,23.14,19.36,48.16,2.25,3.6,2.66,4.42,1.07,144.39,4.72,55.03,65.31,2024-01-29 02:00:00
3~4,6.87,49.02,5.27,24.3,0.33,0.05,10.42,5.3,1.73,79.24,2.55,19.46,57.23,1.07,0.61,0.17,18.23,15.02,45.83,2.25,3.59,2.69,4.42,1.44,143.95,5.03,54.78,65.01,2024-01-29 03:00:00
4~5,6.0,48.29,5.19,24.39,0.33,0.02,11.56,5.19,1.68,79.53,2.5,19.91,57.12,1.11,0.63,0.16,15.78,14.41,15.07,2.25,3.6,2.74,4.43,0.94,144.27,4.75,55.13,64.93,2024-01-29 04:00:00
5~6,5.63,48.28,5.26,24.28,0.32,0.03,11.98,5.14,1.66,80.16,2.54,19.78,57.84,1.04,0.63,0.17,15.02,14.03,34.08,2.34,3.65,3.19,4.42,1.08,143.97,5.06,55.08,64.81,2024-01-29 05:00:00
6~7,5.19,48.34,5.12,24.62,0.29,0.04,10.41,4.5,1.22,81.29,2.46,19.55,59.28,1.07,0.62,0.16,13.41,13.04,37.04,2.35,4.72,3.09,2.4,1.53,146.11,4.88,55.22,65.94,2024-01-29 06:00:00
7~8,5.0,49.28,5.68,24.54,0.07,0.05,13.81,4.28,0.62,81.4,2.5,20.1,58.8,1.43,0.6,0.17,13.57,12.11,61.51,2.4,4.4,3.44,0.13,1.90,147.44,5.56,54.91,66.81,2024-01-29 07:00:00
8~9,5.06,51.62,7.22,31.51,0.06,0.11,21.93,4.23,0.68,85.52,3.0,22.88,59.64,1.37,0.82,0.01,14.81,13.13,100.68,2.35,4.16,4.35,0.0,2.32,157.01,7.59,57.51,70.75,2024-01-29 08:00:00
9~10,5.56,56.32,7.1,34.12,0.06,0.09,26.84,4.03,0.62,92.95,4.44,24.12,64.39,0.82,1.15,0.0,14.93,13.64,53.92,2.47,3.9,4.75,0.0,2.31,164.53,10.26,61.28,71.37,2024-01-29 09:00:00
10~11,6.5,65.75,7.22,35.35,0.06,0.08,25.9,3.89,0.65,101.36,4.44,25.76,71.16,0.89,1.6,0.0,16.31,13.43,18.92,2.37,4.52,5.78,0.0,1.82,172.18,10.25,64.23,75.38,2024-01-29 10:00:00
11~12,11.75,69.53,7.87,36.38,0.07,0.0,28.52,3.88,0.66,100.62,5.07,26.1,69.45,0.86,0.91,0.0,16.32,15.99,18.19,2.38,4.16,5.65,0.0,2.02,174.67,9.25,65.78,77.81,2024-01-29 11:00:00
12~13,7.94,64.97,7.96,37.38,0.07,0.03,27.59,3.91,0.66,101.52,4.39,26.13,71.0,0.93,0.82,0.0,14.88,16.24,24.7,2.65,4.15,5.28,0.0,1.48,179.86,9.74,68.06,81.38,2024-01-29 12:00:00
13~14,6.81,68.1,9.12,38.35,0.06,0.07,30.13,3.78,0.63,103.29,4.04,28.7,70.55,0.82,1.14,0.0,14.57,18.25,56.53,2.69,4.22,5.81,0.0,1.66,180.98,10.2,68.18,81.25,2024-01-29 13:00:00
14~15,6.13,70.83,10.25,38.35,0.07,0.03,30.9,3.47,0.86,106.67,4.25,27.56,74.86,1.08,1.64,0.0,14.51,15.87,29.25,2.69,4.6,5.82,0.0,1.87,179.96,9.43,66.15,82.57,2024-01-29 14:00:00
15~16,5.12,66.54,9.09,39.31,0.07,0.02,31.76,3.74,0.66,105.39,3.85,27.41,74.13,1.09,1.72,0.0,16.32,15.8,17.58,2.72,4.84,4.94,0.0,5.91,178.50,9.34,67.31,79.93,2024-01-29 15:00:00
