
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","27.4","26.8","27.1","26.8","25.4","25.6","26.5","25.7","27.7","28.3","28.7","27.7","28.9","29.6","29.0","27.4","28.1","27.9","27.9","27.5","27.1","26.8","27.0","26.4","27.4"
"02","25.8","26.0","25.9","26.0","25.9","26.5","27.6","28.5","29.3","29.8","30.2","29.5","29.7","29.7","29.7","29.7","29.4","29.3","29.3","29.3","29.4","29.4","29.5","29.7","28.5"
"03","29.6","29.0","26.5","26.2","27.8","27.9","28.4","29.1","29.2","28.7","29.4","29.0","28.5","29.4","28.3","29.4","30.3","30.5","27.5","27.4","28.4","29.6","29.9","29.8","28.7"
"04","29.7","29.5","29.6","30.0","30.0","29.8","30.1","30.5","31.1","31.5","31.8","32.8","32.9","33.0","33.0","32.7","32.2","31.9","32.2","32.5","31.0","30.8","30.9","30.7","31.3"
"05","30.3","30.2","29.9","29.5","30.0","29.2","28.6","28.8","29.5","31.2","31.7","31.3","31.2","31.7","32.5","32.7","32.4","32.0","31.5","30.9","30.4","30.5","30.3","29.9","30.7"
"06","29.9","29.6","29.7","29.5","29.0","28.7","28.7","29.9","31.5","32.5","34.6","36.6","37.3","37.4","37.1","35.8","34.5","33.7","32.3","31.9","31.5","31.2","30.9","30.8","32.3"
"07","30.7","30.2","30.0","29.6","29.3","29.6","29.6","30.1","31.6","33.4","35.3","35.4","35.8","36.5","36.2","35.7","34.3","33.6","32.6","31.6","31.7","31.4","31.0","30.8","32.3"
"08","30.4","30.2","30.0","30.0","30.1","29.5","29.6","30.6","31.1","31.3","32.2","32.5","32.7","32.5","33.2","34.0","32.7","31.8","32.1","31.6","31.1","30.9","30.7","30.4","31.3"
"09","30.4","30.0","29.9","29.9","29.5","29.3","30.0","30.5","31.3","32.6","33.5","34.7","35.0","36.1","36.8","36.4","34.6","32.5","31.8","31.2","31.1","30.9","30.3","30.3","32.0"
"10","30.1","29.6","29.3","29.3","29.0","29.0","29.3","30.0","31.0","31.4","33.3","34.8","35.2","34.0","30.7","25.6","26.1","26.5","25.6","26.2","26.2","26.3","26.2","26.1","29.2"
"11","25.8","26.2","25.9","26.2","26.3","26.3","27.0","28.8","30.5","31.6","31.7","32.8","31.0","28.7","26.8","26.0","26.1","26.5","26.8","26.0","26.0","25.9","26.1","26.1","27.5"
"12","25.5","25.7","25.3","25.5","25.5","25.7","26.2","28.0","29.7","31.3","32.6","33.4","31.1","31.1","28.9","29.9","30.5","30.2","30.3","29.4","29.2","29.0","28.5","28.0","28.8"
"13","27.6","27.1","27.2","26.8","26.5","26.6","27.4","29.1","31.0","32.8","34.3","33.5","33.9","32.9","32.1","31.1","30.2","30.6","30.4","30.2","29.3","28.8","28.7","28.4","29.9"
