
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.00","0.00","0.00","0.00","0.00","0.04","0.56","1.28","1.94","2.54","3.24","3.52","3.55","3.09","1.16","1.12","0.70","0.15","0.00","0.00","0.00","0.00","0.00","0.00","22.89"
"02","0.00","0.00","0.00","0.00","0.00","0.01","0.07","0.38","0.64","1.16","0.87","0.99","2.28","2.76","2.05","1.30","0.73","0.20","0.01","0.00","0.00","0.00","0.00","0.00","13.45"
"03","0.00","0.00","0.00","0.00","0.00","0.01","0.21","0.42","0.46","0.46","0.66","0.88","0.57","0.81","0.75","0.59","0.26","0.18","0.00","0.00","0.00","0.00","0.00","0.00","6.26"
"04","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.06","0.16","0.36","0.65","0.89","0.85","0.80","0.92","0.43","0.22","0.08","0.00","0.00","0.00","0.00","0.00","0.00","5.43"
"05","0.00","0.00","0.00","0.00","0.00","0.01","0.34","0.94","1.65","1.98","3.18","1.92","1.11","0.79","0.91","0.97","0.59","0.16","0.00","0.00","0.00","0.00","0.00","0.00","14.55"
"06","0.00","0.00","0.00","0.00","0.00","0.01","0.33","0.91","1.97","1.87","2.87","2.54","1.97","0.29","0.02","0.09","0.04","0.01","0.00","0.00","0.00","0.00","0.00","0.00","12.92"
"07","0.00","0.00","0.00","0.00","0.00","0.02","0.18","0.49","0.77","1.11","1.58","1.20","1.19","0.98","1.28","0.61","0.22","0.05","0.00","0.00","0.00","0.00","0.00","0.00","9.68"
"08","0.00","0.00","0.00","0.00","0.00","0.02","0.30","0.49","0.87","1.33","1.17","0.97","0.42","0.66","1.43","1.12","0.46","0.15","0.00","0.00","0.00","0.00","0.00","0.00","9.39"
"09","0.00","0.00","0.00","0.00","0.00","0.03","0.53","1.22","2.31","2.15","2.79","2.98","2.85","2.41","1.89","1.09","1.19","0.31","0.00","0.00","0.00","0.00","0.00","0.00","21.75"
"10","0.00","0.00","0.00","0.00","0.00","0.02","0.48","1.27","2.11","2.80","3.39","3.68","3.47","3.19","2.55","1.87","1.03","0.26","0.00","0.00","0.00","0.00","0.00","0.00","26.12"
"11","0.00","0.00","0.00","0.00","0.00","0.02","0.41","1.29","2.08","2.75","3.22","3.47","3.35","3.12","2.56","1.78","0.63","0.15","0.00","0.00","0.00","0.00","0.00","0.00","24.83"
"12","0.00","0.00","0.00","0.00","0.00","0.02","0.41","0.92","1.99","2.68","3.19","3.45","3.44","2.85","0.67","0.78","0.37","0.03","0.00","0.00","0.00","0.00","0.00","0.00","20.80"
"13","0.00","0.00","0.00","0.00","0.00","0.02","0.33","1.12","1.93","2.55","3.10","3.48","3.36","2.88","1.63","0.57","0.22","0.07","0.00","0.00","0.00","0.00","0.00","0.00","21.26"
"14","0.00","0.00","0.00","0.00","0.00","0.01","0.34","1.11","1.90","2.59","3.04","3.12","2.85","1.50","0.75","0.64","0.62","0.11","0.00","0.00","0.00","0.00","0.00","0.00","18.58"
"15","0.00","0.00","0.00","0.00","0.00","0.00","0.25","1.05","1.74","2.35","2.87","3.17","2.58","2.78","1.38","0.45","0.04","0.02","0.00","0.00","0.00","0.00","0.00","0.00","18.68"
"16","0.00","0.00","0.00","0.00","0.00","0.02","0.37","1.03","1.85","2.62","2.99","3.31","3.06","2.40","1.90","1.07","0.61","0.10","0.00","0.00","0.00","0.00","0.00","0.00","21.33"
"17","0.00","0.00","0.00","0.00","0.00","0.01","0.23","1.11","1.94","2.28","2.23","2.43","1.41","1.61","1.80","1.55","0.81","0.16","0.00","0.00","0.00","0.00","0.00","0.00","17.57"
"18","0.00","0.00","0.00","0.00","0.00","0.01","0.39","1.14","1.91","2.60","2.72","2.38","3.17","1.73","0.26","0.90","0.88","0.18","0.00","0.00","0.00","0.00","0.00","0.00","18.27"
"19","0.00","0.00","0.00","0.00","0.00","0.02","0.34","0.94","1.93","2.62","3.03","3.39","3.34","3.01","2.45","1.72","0.85","0.11","0.00","0.00","0.00","0.00","0.00","0.00","23.75"
"20","0.00","0.00","0.00","0.00","0.00","0.01","0.22","0.88","1.75","2.45","2.82","1.50","2.06","2.64","1.78","1.27","0.44","0.05","0.00","0.00","0.00","0.00","0.00","0.00","17.87"
