,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,20.50,53.53,5.23,27.75,0.37,0.12,10.66,3.03,1.69,87.60,2.81,23.48,61.31,1.12,1.05,0.16,53.56,45.42,140.92,2.56,2.59,2.72,4.23,1.21,154.90,3.13,58.40,72.62,2023-12-08 00:00:00
1,1~2,15.12,51.78,5.11,27.38,0.38,0.12,11.05,2.88,1.70,87.06,2.76,23.30,61.00,1.09,1.06,0.17,37.79,40.06,142.37,2.54,2.64,2.56,4.24,1.53,149.71,3.63,56.90,68.50,2023-12-08 01:00:00
2,2~3,9.69,52.51,5.13,27.31,0.37,0.12,9.65,2.67,1.73,85.02,2.65,22.50,59.87,1.13,1.02,0.17,29.46,29.52,84.56,2.65,2.66,2.66,4.25,0.68,149.05,3.21,57.50,67.63,2023-12-08 02:00:00
3,3~4,7.44,51.28,5.13,27.50,0.37,0.12,10.13,2.77,1.68,82.94,2.37,21.32,59.25,1.12,0.94,0.16,20.10,19.05,26.01,2.69,2.60,2.65,4.24,1.08,148.94,3.07,56.71,68.25,2023-12-08 03:00:00
4,4~5,6.44,51.81,5.14,27.62,0.37,0.02,11.26,3.24,1.73,82.18,2.38,20.55,59.25,1.08,1.01,0.17,18.85,19.63,20.87,2.69,2.64,2.98,4.25,0.90,148.82,3.27,57.55,67.00,2023-12-08 04:00:00
5,5~6,6.56,51.37,5.17,27.32,0.37,0.01,12.02,3.04,1.67,82.28,2.40,19.44,60.44,1.27,0.92,0.17,15.96,16.20,19.14,2.65,2.73,3.21,4.24,0.84,147.74,2.88,56.58,67.31,2023-12-08 05:00:00
6,6~7,5.75,51.25,5.18,27.56,0.28,0.06,10.53,1.88,1.15,83.21,2.29,19.68,61.24,0.93,1.01,0.17,14.79,15.83,47.06,2.50,4.04,3.01,2.05,1.61,150.79,3.37,57.86,68.07,2023-12-08 06:00:00
7,7~8,6.31,51.72,5.46,27.94,0.10,0.05,18.13,1.81,0.67,83.91,2.71,19.47,61.73,1.00,1.02,0.16,15.22,15.72,33.66,2.50,3.63,2.87,0.00,3.18,151.07,3.44,56.56,68.74,2023-12-08 07:00:00
8,8~9,6.81,54.69,7.13,35.00,0.10,0.05,48.60,2.37,0.66,89.53,3.66,23.00,62.87,0.92,1.10,0.01,19.15,18.34,23.62,2.41,3.91,3.59,0.00,2.20,158.01,5.38,58.87,71.63,2023-12-08 08:00:00
9,9~10,10.63,58.78,6.95,38.37,0.09,0.04,64.09,2.69,0.66,99.28,5.97,24.34,68.97,1.04,1.73,0.00,19.12,17.15,30.40,2.75,4.06,4.53,0.00,1.70,171.68,7.40,64.52,76.63,2023-12-08 09:00:00
10,10~11,12.44,68.91,8.60,40.25,0.10,0.05,70.22,2.72,0.73,103.98,6.94,26.85,70.19,1.00,2.15,0.00,20.63,17.21,32.07,2.56,5.43,6.13,0.00,2.82,177.27,7.32,66.49,82.06,2023-12-08 10:00:00
11,11~12,13.62,67.19,9.50,41.63,0.10,0.00,73.05,2.73,0.67,104.48,5.90,27.80,70.78,0.93,2.17,0.00,21.26,18.22,53.55,2.60,5.16,6.65,0.00,8.28,181.29,7.12,68.30,82.69,2023-12-08 11:00:00
12,12~13,11.50,68.71,10.34,42.93,0.09,0.03,66.40,3.88,0.66,106.89,7.78,27.18,71.93,0.96,2.25,0.00,25.34,21.13,30.36,2.62,4.84,5.32,0.00,5.19,180.60,8.75,69.32,80.49,2023-12-08 12:00:00
13,13~14,10.06,70.97,11.71,42.57,0.09,0.06,70.60,4.55,0.66,106.08,7.81,26.20,72.07,0.96,2.28,0.00,32.30,20.42,31.42,2.63,4.47,6.37,0.00,1.95,185.58,9.06,69.79,83.13,2023-12-08 13:00:00
14,14~15,7.63,70.53,10.60,42.43,0.10,0.06,74.01,4.31,0.66,112.05,9.04,27.89,75.12,1.25,2.43,0.00,27.50,20.16,37.16,2.65,4.17,6.22,0.00,2.39,192.78,12.94,69.15,83.63,2023-12-08 14:00:00
15,15~16,7.87,69.00,10.24,43.88,0.09,0.03,71.01,4.36,0.70,114.04,8.46,27.60,77.98,1.02,2.19,0.00,28.07,25.97,48.17,2.75,4.15,6.22,0.00,4.62,191.50,13.22,69.07,81.62,2023-12-08 15:00:00
16,16~17,8.82,68.09,10.09,42.44,0.19,0.06,60.21,4.39,0.79,115.01,9.22,26.92,78.87,1.01,2.16,0.12,33.56,26.42,28.09,2.72,3.78,4.75,0.32,3.81,178.23,12.68,67.74,75.50,2023-12-08 16:00:00
17,17~18,9.93,70.91,9.97,39.68,0.36,0.07,53.18,4.50,1.66,109.19,6.82,25.62,76.75,1.04,2.33,0.16,33.62,26.29,38.88,2.72,3.34,3.56,4.32,1.36,164.85,8.17,64.19,72.87,2023-12-08 17:00:00
18,18~19,12.07,62.38,8.16,35.94,0.36,0.08,53.01,4.68,2.08,104.19,7.09,24.57,72.53,1.04,1.17,0.17,30.90,26.45,53.69,2.62,3.10,3.66,4.27,0.64,160.95,4.93,62.63,74.32,2023-12-08 18:00:00
19,19~20,17.00,59.59,7.32,33.31,0.35,0.09,51.76,4.18,1.69,100.20,7.54,24.88,67.78,1.15,1.16,0.17,31.38,31.02,101.00,2.69,2.84,3.47,4.26,0.91,153.23,4.25,58.34,71.87,2023-12-08 19:00:00
20,20~21,13.62,58.38,7.37,31.38,0.36,0.09,47.79,4.27,1.70,96.61,7.06,23.14,66.41,1.21,1.27,0.17,35.71,34.08,125.29,2.66,2.44,3.09,4.24,1.11,149.23,3.15,59.11,68.19,2023-12-08 20:00:00
21,21~22,12.81,56.21,6.99,30.25,0.35,0.09,41.73,4.15,1.69,93.57,6.53,22.48,64.56,1.17,1.18,0.16,44.33,33.52,50.71,2.65,2.61,2.88,4.23,1.31,146.92,2.97,57.79,67.62,2023-12-08 21:00:00
22,22~23,14.50,52.57,5.81,28.94,0.36,0.09,12.79,4.36,1.66,93.93,6.94,23.08,63.91,1.16,1.08,0.17,49.66,45.19,111.68,2.63,2.55,3.06,4.22,0.90,148.15,3.25,58.26,68.94,2023-12-08 22:00:00
23,23~24,26.44,52.00,5.06,27.75,0.36,0.12,10.19,4.25,1.70,93.77,7.77,22.19,63.81,0.98,1.02,0.17,42.69,50.98,122.68,2.62,2.61,3.12,4.23,1.05,144.57,2.97,57.31,66.32,2023-12-08 23:00:00
