,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,12.56,91.43,9.05,37.31,0.14,0.09,10.63,6.65,2.15,114.11,5.13,33.04,75.94,1.25,2.53,0.17,82.49,80.45,95.61,0.97,3.30,6.63,4.68,0.99,213.78,9.35,71.51,97.66,2023-07-10 00:00:00
1,1~2,10.94,90.58,8.69,36.13,0.13,0.10,10.78,5.87,2.16,114.09,5.09,32.94,76.06,1.00,2.27,0.16,80.81,78.06,90.59,1.00,3.34,7.00,4.67,1.42,216.60,9.59,71.87,99.88,2023-07-10 01:00:00
2,2~3,10.19,86.94,8.13,35.19,0.14,0.10,11.13,3.97,2.12,109.45,3.44,32.42,73.59,1.02,2.25,0.17,71.48,66.34,83.22,1.00,3.35,6.47,4.70,1.07,209.32,8.53,71.45,94.15,2023-07-10 02:00:00
3,3~4,8.87,83.72,8.45,35.93,0.12,0.10,12.35,3.80,2.18,109.94,3.53,32.34,74.07,1.01,2.17,0.16,68.17,61.01,82.74,0.96,3.41,6.54,4.69,0.83,211.52,9.44,70.77,96.41,2023-07-10 03:00:00
4,4~5,7.75,82.07,8.04,34.88,0.13,0.12,12.82,3.78,2.13,110.25,4.31,33.53,72.41,1.06,2.03,0.17,62.27,57.31,92.98,1.00,3.36,6.24,4.70,0.76,205.34,9.25,69.90,92.06,2023-07-10 04:00:00
5,5~6,6.69,83.09,8.19,34.81,0.12,0.09,12.29,3.86,1.29,114.42,3.13,38.17,73.12,0.83,2.06,0.16,56.69,54.05,66.26,1.04,3.46,6.12,3.09,1.26,206.58,8.50,69.73,94.44,2023-07-10 05:00:00
6,6~7,7.13,82.51,9.26,36.75,0.12,0.06,13.05,3.45,1.05,114.23,2.94,37.20,74.09,0.86,2.10,0.17,55.00,49.45,68.11,0.93,3.81,6.20,0.00,9.29,214.09,9.16,70.41,99.56,2023-07-10 06:00:00
7,7~8,8.43,86.16,9.47,44.44,0.13,0.08,20.71,3.39,0.77,118.71,2.94,39.71,76.06,1.10,2.30,0.06,60.92,48.96,69.74,0.91,4.57,7.77,0.00,16.25,221.36,9.71,71.97,103.12,2023-07-10 07:00:00
8,8~9,14.13,103.82,11.69,59.50,0.14,0.04,47.98,3.33,0.77,128.68,4.65,44.65,79.38,0.99,2.67,0.00,47.52,45.17,76.03,0.97,5.39,10.76,0.00,4.12,240.42,18.10,76.94,107.06,2023-07-10 08:00:00
9,9~10,12.62,129.40,11.63,64.94,0.15,0.48,61.30,9.42,0.79,144.09,6.75,51.87,85.47,1.00,3.05,0.00,44.98,40.90,72.77,2.15,5.39,13.00,0.00,4.28,283.98,25.69,84.70,121.69,2023-07-10 09:00:00
