
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.13","0.27","0.41","0.46","0.63","0.61","0.60","0.46","0.23","0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.86"
"02","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.19","0.34","0.59","0.60","1.80","1.79","0.36","0.25","0.26","0.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.27"
"03","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.12","0.28","0.36","0.59","1.17","1.48","1.36","0.74","0.28","0.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.46"
"04","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.08","0.13","0.14","0.28","0.37","0.38","0.29","0.37","0.18","0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.28"
"05","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.11","0.21","0.13","0.24","0.47","0.29","0.19","0.11","0.07","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.86"
"06","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.04","0.10","0.13","0.10","0.13","0.09","0.09","0.06","0.06","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.82"
"07","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.46","1.16","1.77","2.18","2.39","2.36","2.04","1.51","0.85","0.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.97"
"08","0.00","0.00","0.00","0.00","0.00","0.00","0.05","0.48","1.14","1.74","2.19","2.40","2.25","1.90","1.38","0.73","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.43"
"09","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.32","0.94","1.67","2.02","2.08","2.13","1.84","1.47","0.72","0.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.37"
"10","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.43","0.82","1.75","2.19","2.38","2.33","2.03","1.52","0.87","0.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.58"
"11","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.38","1.24","1.90","2.36","2.39","2.26","1.91","0.76","0.35","0.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.67"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.13","0.74","0.73","0.72","0.57","0.58","0.92","0.79","0.45","0.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.77"
"13","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.20","0.75","1.14","1.87","2.30","1.94","1.56","1.01","0.48","0.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.40"
"14","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.49","1.17","1.77","2.20","2.32","2.42","2.31","1.48","0.85","0.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.24"
"15","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.29","1.15","1.76","2.19","2.40","1.52","1.64","0.55","0.35","0.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.01"
"16","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.15","0.40","0.96","0.81","0.76","0.69","0.49","0.39","0.16","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.86"
"17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.08","0.20","0.26","0.29","0.38","0.65","0.33","0.23","0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.49"
"18","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.30","1.14","1.74","1.79","1.53","1.78","1.34","1.10","0.74","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.68"
"19","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.09","0.31","0.29","0.17","0.56","0.90","0.25","0.10","0.11","0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.84"
"20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.34","0.55","0.60","0.46","0.31","0.25","0.18","0.15","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.96"
"21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.11","0.12","0.13","0.13","0.13","0.12","0.08","0.06","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92"
"22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.05","0.10","0.14","0.22","0.44","0.22","0.16","0.09","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.47"
"23","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.18","0.55","0.92","1.11","1.16","1.07","0.94","0.67","0.29","0.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.96"
"24","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.17","0.41","0.29","0.42","0.54","0.46","0.40","0.28","0.23","0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.26"
"25","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.16","0.52","0.93","1.61","2.19","2.16","2.06","1.47","0.95","0.26","0.01","0.00","0.00","0.00","0.00","0.00","0.00","12.33"
"26","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.39","1.09","1.72","2.17","2.46","1.95","2.36","1.52","1.05","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.90"
"27","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.23","0.42","0.79","1.42","2.45","1.92","0.91","0.83","0.42","0.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.52"
"28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.21","0.47","0.73","0.66","0.40","0.29","0.33","0.14","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.33"
"29","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.08","0.26","0.33","0.49","0.59","0.52","0.44","0.65","0.34","0.11","0.01","0.00","0.00","0.00","0.00","0.00","0.00","3.83"
"30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.05","0.27","0.71","1.51","2.36","2.38","1.36","0.85","0.98","0.30","0.01","0.00","0.00","0.00","0.00","0.00","0.00","10.78"
"31","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.35","0.67","1.59","2.07","1.77","1.57","0.62","0.30","0.19","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.19"
"總和","0.00","0.00","0.00","0.00","0.00","0.00","0.46","6.21","17.27","27.70","35.62","41.93","39.49","31.74","21.70","12.86","3.30","0.03","0.00","0.00","0.00","0.00","0.00","0.00","總和"
