Unnamed: 0,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,9.25,54.79,5.96,25.37,0.38,0.11,8.69,4.13,2.13,---,2.43,---,49.78,2.18,0.06,0.0,29.94,20.37,42.63,1.72,3.1,2.84,---,---,---,5.75,68.84,61.98,2023-01-01 00:00:00
1,1~2,8.75,53.0,5.19,25.31,0.38,0.12,8.42,4.51,2.25,---,2.38,---,49.69,1.93,0.07,0.0,26.25,20.28,26.87,1.75,3.06,2.94,---,---,---,5.5,68.67,62.71,2023-01-01 01:00:00
2,2~3,8.5,52.37,5.25,25.38,0.37,0.09,8.33,3.95,2.16,---,2.44,---,49.31,1.94,0.07,0.0,26.51,22.97,26.93,1.75,3.1,2.9,---,---,---,5.99,68.52,61.45,2023-01-01 02:00:00
3,3~4,11.75,53.6,5.32,25.25,0.38,0.12,9.7,3.64,2.06,---,2.41,---,49.1,1.92,0.07,0.0,26.94,20.07,38.28,1.81,3.12,2.79,---,---,---,5.5,68.98,61.19,2023-01-01 03:00:00
4,4~5,6.94,52.15,5.39,25.94,0.38,0.12,10.42,3.3,2.16,---,2.56,---,49.96,1.92,0.06,0.0,24.07,17.44,70.05,1.87,3.07,3.24,---,---,---,5.72,69.12,61.37,2023-01-01 04:00:00
5,5~6,6.62,53.26,5.05,25.43,0.38,0.12,11.09,3.12,1.99,---,2.46,---,50.72,2.23,0.06,0.0,22.57,15.43,118.92,1.88,3.2,2.85,---,---,---,6.2,68.78,61.87,2023-01-01 05:00:00
6,6~7,5.57,52.55,5.39,25.75,0.35,0.12,9.57,2.58,1.29,---,2.75,---,50.35,2.55,0.07,0.0,17.66,17.8,36.74,1.84,3.51,2.91,---,---,---,5.21,69.62,63.68,2023-01-01 06:00:00
7,7~8,4.93,52.94,5.41,25.75,0.11,0.07,16.91,2.65,0.65,---,2.97,---,49.63,1.95,0.07,0.0,21.12,14.83,18.73,1.88,3.57,3.1,---,---,---,5.58,69.2,62.88,2023-01-01 07:00:00
8,8~9,5.5,53.47,5.2,26.25,0.12,0.05,25.3,2.54,1.81,---,3.28,---,50.49,2.15,0.07,0.0,18.0,21.93,20.48,1.87,3.5,3.37,---,---,---,5.53,69.63,63.04,2023-01-01 08:00:00
9,9~10,5.44,56.07,6.05,26.0,0.11,0.06,28.25,2.54,1.82,---,3.47,---,52.81,1.92,0.06,0.0,17.35,19.28,26.11,1.85,3.26,3.5,---,---,---,5.43,69.66,61.37,2023-01-01 09:00:00
10,10~11,5.81,57.43,6.01,26.38,0.11,0.04,26.08,2.49,1.85,---,3.94,---,52.41,1.86,0.06,0.0,15.21,19.75,56.3,1.78,3.28,3.93,---,---,---,5.65,70.81,63.17,2023-01-01 10:00:00
11,11~12,5.25,58.16,5.57,26.19,0.12,0.04,16.61,2.54,1.82,---,3.97,---,52.4,1.88,0.07,0.0,16.88,16.63,33.92,1.94,3.25,3.54,---,---,---,5.43,71.81,63.81,2023-01-01 11:00:00
12,12~13,5.63,59.0,5.45,25.93,0.11,0.04,12.79,2.56,1.79,---,3.53,---,53.39,2.16,0.07,0.0,16.49,19.94,26.86,1.96,3.49,3.24,---,---,---,5.78,71.14,65.24,2023-01-01 12:00:00
13,13~14,8.25,57.25,6.16,26.32,0.11,0.04,12.4,2.48,1.81,---,4.03,---,52.9,1.89,0.07,0.0,17.73,20.06,26.86,2.0,3.33,3.32,---,---,---,6.4,71.12,65.49,2023-01-01 13:00:00
14,14~15,7.0,58.47,5.41,27.12,0.12,0.04,11.89,2.55,1.85,---,4.47,---,54.09,1.66,0.05,0.0,18.65,19.37,57.04,1.91,3.31,3.12,---,---,---,5.66,71.38,66.83,2023-01-01 14:00:00
15,15~16,8.0,57.52,5.7,27.88,0.11,0.04,12.3,2.62,1.82,---,3.71,---,52.91,1.36,0.07,0.0,21.0,22.66,39.45,1.81,3.34,3.28,---,---,---,5.47,69.97,66.83,2023-01-01 15:00:00
16,16~17,7.62,56.1,5.39,27.12,0.16,0.04,11.84,3.62,1.91,---,3.29,---,52.35,0.98,0.07,0.0,26.62,26.62,28.84,1.72,3.18,3.19,---,---,---,5.59,70.42,66.7,2023-01-01 16:00:00
17,17~18,14.63,58.47,5.39,27.06,0.37,0.09,13.7,2.91,2.29,---,2.94,---,52.02,1.22,0.07,0.0,26.54,24.62,37.41,1.78,3.08,2.94,---,---,---,5.78,69.17,64.67,2023-01-01 17:00:00
18,18~19,18.37,58.34,5.28,27.19,0.37,0.11,13.54,3.38,1.82,---,3.09,---,52.32,1.19,0.08,0.0,27.51,22.88,62.76,1.78,2.95,2.47,---,---,---,5.3,69.67,66.52,2023-01-01 18:00:00
19,19~20,11.25,56.82,5.18,27.31,0.38,0.09,13.8,3.18,1.81,---,3.09,---,51.93,1.21,0.07,0.0,24.84,24.53,35.78,1.82,2.89,2.97,---,---,---,5.6,69.74,65.74,2023-01-01 19:00:00
20,20~21,9.88,56.05,5.08,27.32,0.37,0.1,12.06,3.27,1.82,---,2.85,---,52.57,1.4,0.06,0.0,28.0,29.91,31.0,1.81,2.99,2.84,---,---,---,5.38,69.79,65.44,2023-01-01 20:00:00
