
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","22.8","22.9","22.9","23.1","23.1","22.9","23.1","24.9","25.9","26.1","27.2","27.7","28.3","27.9","27.1","26.4","26.0","25.6","25.3","25.2","25.0","24.5","24.4","24.1","25.1"
"02","24.1","24.4","24.2","24.0","23.8","23.9","24.0","25.5","27.5","29.2","29.9","30.6","31.2","30.5","29.9","28.4","27.9","27.2","26.7","26.1","26.3","25.9","25.3","24.7","26.7"
"03","24.5","23.8","23.4","23.0","22.8","22.5","22.6","24.0","25.6","27.3","29.1","29.6","30.7","29.5","28.8","28.0","27.4","27.1","26.7","26.3","26.2","26.1","25.7","25.4","26.1"
"04","24.9","24.6","24.2","23.9","23.3","22.9","23.1","24.6","26.7","28.6","30.1","30.9","31.8","31.2","30.4","29.3","29.0","28.2","27.2","26.6","26.5","26.2","25.5","25.4","26.9"
"05","25.2","24.7","24.7","24.3","23.9","23.6","23.8","25.9","26.8","28.6","29.9","30.2","31.4","30.7","30.5","29.6","28.5","27.9","27.4","26.9","26.4","25.8","25.2","24.9","27.0"
"06","24.7","24.4","24.0","23.7","23.5","23.3","23.7","25.6","27.6","30.1","31.2","31.7","31.0","29.8","29.7","28.0","26.4","25.1","24.7","24.0","23.4","22.7","22.5","21.9","25.9"
"07","22.1","22.4","22.7","22.7","22.6","22.4","22.3","22.7","23.6","24.1","24.4","23.9","24.0","24.2","23.9","23.2","23.2","23.3","23.3","23.2","23.1","23.1","23.0","23.1","23.2"
"08","23.1","23.0","23.1","23.1","23.0","23.0","23.2","25.0","26.5","27.8","28.5","28.9","29.6","28.8","28.8","28.2","27.1","26.1","25.9","25.4","25.3","25.0","24.9","24.8","25.8"
"09","24.9","24.7","24.3","24.1","23.5","23.1","23.8","25.6","28.0","28.9","29.7","29.4","30.2","31.1","31.3","29.1","28.0","27.6","27.2","27.1","26.5","26.0","25.7","25.5","26.9"
"10","25.1","25.0","24.8","24.2","24.2","24.0","24.3","25.7","27.2","29.5","30.0","29.5","27.4","26.3","25.2","24.8","24.3","23.7","23.3","23.4","23.4","22.9","22.9","22.7","25.2"
"11","22.6","22.4","22.3","22.0","22.0","21.8","21.9","22.3","22.5","23.6","24.3","23.1","23.5","23.1","23.1","22.5","22.0","21.9","22.1","22.0","21.9","21.7","21.7","21.6","22.4"
"12","21.8","21.8","22.1","21.7","21.6","21.5","21.7","21.9","22.0","21.9","22.0","21.9","21.8","22.1","20.6","20.7","20.5","20.2","20.1","20.1","19.9","19.8","19.1","18.9","21.1"
"13","18.7","18.7","18.6","18.5","18.7","18.3","18.2","18.3","18.3","18.2","17.7","17.8","17.5","17.5","18.2","18.4","18.4","18.6","18.5","18.1","18.2","18.5","18.3","18.3","18.3"
"14","18.5","18.8","18.8","19.1","19.3","19.1","19.5","19.5","19.7","19.7","19.4","19.1","19.1","19.5","19.9","19.5","19.1","19.0","19.0","18.9","18.9","19.0","19.0","19.0","19.2"
"15","19.2","19.1","19.0","19.0","19.4","19.3","19.5","19.8","20.7","21.6","22.3","22.1","22.2","22.7","22.4","22.1","21.6","21.3","21.2","21.1","21.2","21.2","21.5","21.1","20.9"
"16","21.4","21.7","21.1","21.2","21.0","21.2","21.2","22.9","24.0","25.8","25.4","21.8","22.1","21.9","21.8","21.7","21.2","18.7","18.0","17.8","17.5","17.1","16.7","16.5","20.8"
"17","16.5","16.1","16.4","16.1","15.8","15.8","16.2","16.9","17.5","17.6","18.3","19.0","19.9","20.1","19.7","18.3","17.5","16.6","16.4","15.5","14.8","14.4","14.0","13.6","16.8"
"18","13.4","13.3","13.0","12.8","12.6","12.7","13.0","14.3","17.0","19.3","19.9","19.6","20.4","20.0","18.8","17.9","17.4","17.0","16.8","16.7","16.7","16.5","16.1","16.2","16.3"
"19","15.4","15.3","14.5","14.2","13.8","13.4","14.2","16.0","19.2","21.9","22.8","22.2","23.3","22.9","22.7","21.3","20.6","20.0","19.6","19.4","19.3","18.8","18.7","18.6","18.7"
"20","18.6","18.5","18.8","18.7","18.6","18.9","19.2","20.4","21.9","23.1","23.6","23.1","22.8","23.4","23.2","22.1","21.7","21.4","21.2","21.2","20.9","21.0","20.9","21.1","21.0"
"21","20.9","20.8","20.6","20.9","20.9","20.7","20.9","22.1","24.1","24.8","25.0","25.2","25.9","26.0","25.8","24.7","23.9","23.4","22.9","22.6","22.5","22.5","22.4","22.3","23.0"
"22","21.9","21.9","21.7","21.4","21.2","20.9","20.9","22.9","24.8","26.0","27.2","26.7","27.5","26.9","25.6","24.7","24.0","23.9","23.8","23.1","22.8","22.4","22.2","21.9","23.6"
"23","21.0","20.6","19.6","19.6","19.4","19.1","19.2","20.7","22.3","24.9","26.5","26.7","27.5","26.9","25.7","24.6","23.1","22.5","22.3","21.9","21.5","21.4","21.3","21.4","22.5"
"24","21.0","21.0","21.2","21.4","21.2","20.0","20.4","21.2","21.3","20.5","20.4","20.7","20.4","20.4","20.3","20.2","20.2","20.2","19.9","18.9","19.4","19.8","19.6","19.8","20.4"
"25","20.0","20.1","19.9","19.8","19.8","19.5","20.2","19.6","20.2","20.7","21.4","21.5","20.9","20.8","20.3","19.8","19.4","19.3","19.3","19.5","19.6","19.7","19.9","19.4","20.0"
"26","19.4","19.6","19.8","19.6","19.3","19.0","18.9","19.1","20.1","20.6","20.1","20.1","20.4","20.6","20.5","20.2","20.2","20.5","20.5","20.7","20.6","20.7","20.7","20.3","20.1"
"27","19.7","19.7","19.7","19.8","19.8","20.1","20.4","21.4","22.2","23.5","23.2","24.0","23.6","23.6","23.4","23.1","22.2","21.2","21.0","20.7","20.8","20.7","20.7","20.5","21.5"
"28","20.5","20.6","20.7","20.4","20.1","20.1","19.9","21.2","22.5","23.5","24.5","24.4","24.9","25.0","23.9","23.2","22.3","21.9","21.8","21.7","21.7","21.8","21.8","21.8","22.1"
"29","21.7","21.5","21.4","21.7","21.8","22.0","22.0","22.8","24.0","24.6","25.9","25.8","26.4","26.0","25.5","25.2","23.7","23.5","23.6","23.4","23.2","22.9","22.5","22.3","23.5"
"30","21.8","21.8","21.8","21.7","21.5","21.2","21.0","20.1","20.1","20.1","19.9","20.2","20.2","19.9","19.8","19.5","19.4","19.1","18.9","18.8","18.9","18.9","18.5","18.5","20.1"
"平均","21.2","21.1","21.0","20.9","20.7","20.5","20.7","21.8","23.0","24.1","24.7","24.6","24.9","24.6","24.2","23.5","22.9","22.4","22.2","21.9","21.7","21.6","21.4","21.2","平均"
