
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.97","1.46","1.63","2.08","2.11","2.01","1.66","1.36","0.69","0.35","0.01","0.00","0.00","0.00","0.00","0.00","0.00","14.43"
"02","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.70","1.63","2.24","2.67","2.86","2.88","2.26","1.43","0.89","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.86"
"03","0.00","0.00","0.00","0.00","0.00","0.00","0.21","0.85","1.57","2.19","2.61","2.72","2.61","1.49","1.06","0.52","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.03"
"04","0.00","0.00","0.00","0.00","0.00","0.00","0.19","0.87","1.61","2.22","2.63","2.81","2.71","2.34","1.75","0.99","0.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.40"
"05","0.00","0.00","0.00","0.00","0.00","0.00","0.18","0.85","1.57","2.18","2.57","2.72","2.66","1.99","1.65","0.82","0.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.47"
"06","0.00","0.00","0.00","0.00","0.00","0.00","0.17","0.85","1.55","2.12","2.56","2.49","1.86","0.90","1.71","0.54","0.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.81"
"07","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.47","1.46","2.19","2.35","1.73","2.05","2.12","1.71","0.67","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.03"
"08","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.61","1.48","2.11","2.53","2.68","2.59","2.07","1.16","1.01","0.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.58"
"09","0.00","0.00","0.00","0.00","0.00","0.00","0.15","0.79","1.51","2.12","2.32","2.08","2.31","2.18","1.37","0.66","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.69"
"10","0.00","0.00","0.00","0.00","0.00","0.00","0.18","0.86","1.47","2.04","1.85","1.83","0.68","0.42","0.35","0.14","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.84"
"11","0.00","0.00","0.00","0.00","0.00","0.00","0.05","0.37","0.69","1.22","1.51","1.12","1.16","1.33","0.86","0.33","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.68"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.09","0.28","0.61","0.85","0.59","0.80","0.91","0.41","0.28","0.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.95"
"13","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.13","0.19","0.24","0.42","0.52","0.33","0.35","0.35","0.24","0.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.87"
"14","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.07","0.18","0.23","0.35","0.51","0.42","0.49","0.46","0.14","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.91"
"15","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.44","0.91","1.58","1.64","1.92","2.05","1.82","1.48","0.76","0.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.93"
