sin_hour,cos_hour,sin_day,cos_day,building_T1,building_T2,building_T3,building_T4,building_T5,building_T6,building_T7,building_T8,building_T9,building_T10,building_T11,building_T12,building_T13,building_T14,building_T15,building_T16,building_T17,building_T18,building_T19,building_T20,building_T21,building_T22,building_T23,building_T24,radiation_T1,radiation_T2,radiation_T3,radiation_T4,radiation_T5,radiation_T6,radiation_T7,radiation_T8,radiation_T9,radiation_T10,radiation_T11,radiation_T12,radiation_T13,radiation_T14,radiation_T15,radiation_T16,radiation_T17,radiation_T18,radiation_T19,radiation_T20,radiation_T21,radiation_T22,radiation_T23,radiation_T24,temperature_T1,temperature_T2,temperature_T3,temperature_T4,temperature_T5,temperature_T6,temperature_T7,temperature_T8,temperature_T9,temperature_T10,temperature_T11,temperature_T12,temperature_T13,temperature_T14,temperature_T15,temperature_T16,temperature_T17,temperature_T18,temperature_T19,temperature_T20,temperature_T21,temperature_T22,temperature_T23,temperature_T24,priceG2B_T1,priceG2B_T2,priceG2B_T3,priceG2B_T4,priceG2B_T5,priceG2B_T6,priceG2B_T7,priceG2B_T8,priceG2B_T9,priceG2B_T10,priceG2B_T11,priceG2B_T12,priceG2B_T13,priceG2B_T14,priceG2B_T15,priceG2B_T16,priceG2B_T17,priceG2B_T18,priceG2B_T19,priceG2B_T20,priceG2B_T21,priceG2B_T22,priceG2B_T23,priceG2B_T24,priceG2V_T1,priceG2V_T2,priceG2V_T3,priceG2V_T4,priceG2V_T5,priceG2V_T6,priceG2V_T7,priceG2V_T8,priceG2V_T9,priceG2V_T10,priceG2V_T11,priceG2V_T12,priceG2V_T13,priceG2V_T14,priceG2V_T15,priceG2V_T16,priceG2V_T17,priceG2V_T18,priceG2V_T19,priceG2V_T20,priceG2V_T21,priceG2V_T22,priceG2V_T23,priceG2V_T24,battery_T1,battery_T2,battery_T3,battery_T4,battery_T5,battery_T6,battery_T7,battery_T8,battery_T9,battery_T10,battery_T11,battery_T12,battery_T13,battery_T14,battery_T15,battery_T16,battery_T17,battery_T18,battery_T19,battery_T20,battery_T21,battery_T22,battery_T23,battery_T24,priority_V1,priority_V2,priority_V3,priority_V4,priority_V5,priority_V6,priority_V7,priority_V8,priority_V9,priority_V10,priority_V11,priority_V12,priority_V13,priority_V14,priority_V15,priority_V16,priority_V17,priority_V18,priority_V19,priority_V20,priority_V21,priority_V22,priority_V23,priority_V24,priority_V25,priority_V26,priority_V27,priority_V28,priority_V29,priority_V30,priority_V31,priority_V32,priority_V33,priority_V34,priority_V35,priority_V36,priority_V37,priority_V38,priority_V39,priority_V40,priority_V41,priority_V42,priority_V43,priority_V44,priority_V45,priority_V46,priority_V47,priority_V48,priority_V49,priority_V50,priority_V51,priority_V52,priority_V53,priority_V54,priority_V55,priority_V56,priority_V57,priority_V58,priority_V59,priority_V60,priority_V61,priority_V62,priority_V63,priority_V64,priority_V65,priority_V66,priority_V67,priority_V68,priority_V69,priority_V70,priority_V71,priority_V72,priority_V73,priority_V74,priority_V75,priority_V76,target
0.86603,-0.5,0.97493,-0.22252,9.37,10.14,10.22,10.29,11.17,10.47,10.47,9.89,11.07,11.65,11.43,9.78,9.36,7.78,6.92,6.98,6.74,6.76,7.37,7.12,7.61,7.19,8.75,8.69,0.11,0.13,0.17,0.1,0.1,0.1,0.09,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,11.8,11.8,11.7,11.3,11.3,10.9,10.5,10.2,9.8,9.8,9.6,9.6,9.5,9.2,9.1,9.0,8.6,9.0,8.9,8.7,9.0,9.2,9.6,10.0,4.77,4.77,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.85,1.85,1.85,4.77,4.77,4.77,1.95,1.95,1.95,1.95,1.95,1.95,8.13,8.13,8.13,8.13,8.13,8.13,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,22.0,24.666666666666668,22.0,33.333333333333336,36.0,29.33333333333333,28.0,24.0,29.33333333333333,28.0,16.0,18.0,25.33333333333333,25.0,24.0,32.0,36.0,40.0,38.0,38.0,42.0,40.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333,0.2333,0.2333,0.2333,0.2333,0.2333,0.2333,0.2333,0.2333,0.175,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.1167,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0875,0.0,0.0,0.0,0.0466,0.0466,0.0466,0.0466,0.0466,0.0466,0.0466,0.0466,0.0466,0.0466,0.0466,0.0466,0.07,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0636,0.0636,0.0636,0.0636,0.0636,0.0636,0.0636,14.0
0.70711,-0.70711,0.97493,-0.22252,10.14,10.22,10.29,11.17,10.47,10.47,9.89,11.07,11.65,11.43,9.78,9.36,7.78,6.92,6.98,6.74,6.76,7.37,7.12,7.61,7.19,8.75,8.69,9.04,0.13,0.17,0.1,0.1,0.1,0.09,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.3,11.8,11.7,11.3,11.3,10.9,10.5,10.2,9.8,9.8,9.6,9.6,9.5,9.2,9.1,9.0,8.6,9.0,8.9,8.7,9.0,9.2,9.6,10.0,10.7,4.77,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.85,1.85,1.85,4.77,4.77,4.77,4.77,1.95,1.95,1.95,1.95,1.95,8.13,8.13,8.13,8.13,8.13,8.13,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,24.666666666666668,22.0,33.333333333333336,36.0,29.33333333333333,28.0,24.0,29.33333333333333,28.0,16.0,18.0,25.33333333333333,25.0,24.0,32.0,36.0,40.0,38.0,38.0,42.0,40.0,32.0,22.0,24.0,0.0,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.2333,0.0,0.0,0.0,0.0,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.14,0.0,0.0,0.1167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0778,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0211,0.0211,0.0211,0.0211,0.0211,0.0211,14.0
0.5,-0.86603,0.97493,-0.22252,10.22,10.29,11.17,10.47,10.47,9.89,11.07,11.65,11.43,9.78,9.36,7.78,6.92,6.98,6.74,6.76,7.37,7.12,7.61,7.19,8.75,8.69,9.04,9.17,0.17,0.1,0.1,0.1,0.09,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.3,0.99,11.7,11.3,11.3,10.9,10.5,10.2,9.8,9.8,9.6,9.6,9.5,9.2,9.1,9.0,8.6,9.0,8.9,8.7,9.0,9.2,9.6,10.0,10.7,11.4,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,1.95,1.95,1.95,1.95,8.13,8.13,8.13,8.13,8.13,8.13,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,22.0,33.333333333333336,36.0,29.33333333333333,28.0,24.0,29.33333333333333,28.0,16.0,18.0,25.33333333333333,25.0,24.0,32.0,36.0,40.0,38.0,38.0,42.0,40.0,32.0,22.0,24.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.2137,0.2137,0.2137,0.2137,0.2137,0.2137,0.2137,0.175,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1167,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,14.0
0.25882,-0.96593,0.97493,-0.22252,10.29,11.17,10.47,10.47,9.89,11.07,11.65,11.43,9.78,9.36,7.78,6.92,6.98,6.74,6.76,7.37,7.12,7.61,7.19,8.75,8.69,9.04,9.17,9.79,0.1,0.1,0.1,0.09,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.3,0.99,1.19,11.3,11.3,10.9,10.5,10.2,9.8,9.8,9.6,9.6,9.5,9.2,9.1,9.0,8.6,9.0,8.9,8.7,9.0,9.2,9.6,10.0,10.7,11.4,12.0,1.85,1.85,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,1.85,1.95,1.95,1.95,8.13,8.13,8.13,8.13,8.13,8.13,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,33.333333333333336,36.0,29.33333333333333,28.0,24.0,29.33333333333333,28.0,16.0,18.0,25.33333333333333,25.0,24.0,32.0,36.0,40.0,38.0,38.0,42.0,40.0,32.0,22.0,24.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.3206,0.3206,0.3206,0.3206,0.3206,0.3206,0.3206,0.2333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.041,14.0
0.0,-1.0,0.97493,-0.22252,11.17,10.47,10.47,9.89,11.07,11.65,11.43,9.78,9.36,7.78,6.92,6.98,6.74,6.76,7.37,7.12,7.61,7.19,8.75,8.69,9.04,9.17,9.79,10.11,0.1,0.1,0.09,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.3,0.99,1.19,2.24,11.3,10.9,10.5,10.2,9.8,9.8,9.6,9.6,9.5,9.2,9.1,9.0,8.6,9.0,8.9,8.7,9.0,9.2,9.6,10.0,10.7,11.4,12.0,13.3,1.85,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.95,1.95,8.13,8.13,8.13,8.13,8.13,8.13,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,36.0,29.33333333333333,28.0,24.0,29.33333333333333,28.0,16.0,18.0,25.33333333333333,25.0,24.0,32.0,36.0,40.0,38.0,38.0,42.0,40.0,32.0,22.0,24.0,34.0,32.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0456,0.0,0.0,0.04,0.0244,14.0
-0.25882,-0.96593,0.97493,-0.22252,10.47,10.47,9.89,11.07,11.65,11.43,9.78,9.36,7.78,6.92,6.98,6.74,6.76,7.37,7.12,7.61,7.19,8.75,8.69,9.04,9.17,9.79,10.11,10.24,0.1,0.09,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.3,0.99,1.19,2.24,1.49,10.9,10.5,10.2,9.8,9.8,9.6,9.6,9.5,9.2,9.1,9.0,8.6,9.0,8.9,8.7,9.0,9.2,9.6,10.0,10.7,11.4,12.0,13.3,13.3,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.95,8.13,8.13,8.13,8.13,8.13,8.13,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,29.33333333333333,28.0,24.0,29.33333333333333,28.0,16.0,18.0,25.33333333333333,25.0,24.0,32.0,36.0,40.0,38.0,38.0,42.0,40.0,32.0,22.0,24.0,34.0,32.0,36.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1167,0.1167,0.1167,0.1167,0.1167,0.1167,0.1167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512,0.0,0.0,0.045,0.0275,0.0475,-0.0412,-0.0504,0.0,0.0,-0.0537,-0.0325,0.0,14.0
-0.5,-0.86603,0.97493,-0.22252,10.47,9.89,11.07,11.65,11.43,9.78,9.36,7.78,6.92,6.98,6.74,6.76,7.37,7.12,7.61,7.19,8.75,8.69,9.04,9.17,9.79,10.11,10.24,10.38,0.09,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.3,0.99,1.19,2.24,1.49,1.66,10.5,10.2,9.8,9.8,9.6,9.6,9.5,9.2,9.1,9.0,8.6,9.0,8.9,8.7,9.0,9.2,9.6,10.0,10.7,11.4,12.0,13.3,13.3,13.3,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,4.77,8.13,8.13,8.13,8.13,8.13,8.13,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,28.0,24.0,29.33333333333333,28.0,16.0,18.0,25.33333333333333,25.0,24.0,32.0,36.0,40.0,38.0,38.0,42.0,40.0,32.0,22.0,24.0,34.0,32.0,36.0,35.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0414,0.0,0.0,0.0514,0.0314,0.0543,-0.0471,-0.0576,0.0,0.0,-0.0614,-0.0371,0.0,0.0,0.0,-0.0857,14.0
-0.70711,-0.70711,0.97493,-0.22252,9.89,11.07,11.65,11.43,9.78,9.36,7.78,6.92,6.98,6.74,6.76,7.37,7.12,7.61,7.19,8.75,8.69,9.04,9.17,9.79,10.11,10.24,10.38,9.85,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.3,0.99,1.19,2.24,1.49,1.66,1.04,10.2,9.8,9.8,9.6,9.6,9.5,9.2,9.1,9.0,8.6,9.0,8.9,8.7,9.0,9.2,9.6,10.0,10.7,11.4,12.0,13.3,13.3,13.3,13.5,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,4.77,4.77,8.13,8.13,8.13,8.13,8.13,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,8.13,24.0,29.33333333333333,28.0,16.0,18.0,25.33333333333333,25.0,24.0,32.0,36.0,40.0,38.0,38.0,42.0,40.0,32.0,22.0,24.0,34.0,32.0,36.0,35.5,40.0,36.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0483,0.0,0.0,0.06,0.0367,-0.0533,-0.055,-0.0673,0.0,0.0,-0.0717,-0.0433,0.0,0.0,0.0,-0.1,-0.0567,-0.035,0.0,0.0,0.0,-0.0683,-0.0817,-0.04,-0.0433,-0.04,-0.0433,14.0
-0.86603,-0.5,0.97493,-0.22252,11.07,11.65,11.43,9.78,9.36,7.78,6.92,6.98,6.74,6.76,7.37,7.12,7.61,7.19,8.75,8.69,9.04,9.17,9.79,10.11,10.24,10.38,9.85,9.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.3,0.99,1.19,2.24,1.49,1.66,1.04,0.52,9.8,9.8,9.6,9.6,9.5,9.2,9.1,9.0,8.6,9.0,8.9,8.7,9.0,9.2,9.6,10.0,10.7,11.4,12.0,13.3,13.3,13.3,13.5,13.1,4.77,4.77,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,4.77,4.77,4.77,8.13,8.13,8.13,8.13,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,8.13,8.13,29.33333333333333,28.0,16.0,18.0,25.33333333333333,25.0,24.0,32.0,36.0,40.0,38.0,38.0,42.0,40.0,32.0,22.0,24.0,34.0,32.0,36.0,35.5,40.0,36.66666666666666,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058,0.0,0.0,0.0,-0.0837,-0.064,-0.066,-0.0807,0.0,0.0,-0.086,-0.052,0.0,0.0,0.0,-0.12,-0.068,-0.042,0.0,0.0,0.0,-0.082,-0.098,-0.048,-0.052,-0.048,-0.052,-0.11,-0.086,-0.104,0.0,6.2
-0.96593,-0.25882,0.97493,-0.22252,11.65,11.43,9.78,9.36,7.78,6.92,6.98,6.74,6.76,7.37,7.12,7.61,7.19,8.75,8.69,9.04,9.17,9.79,10.11,10.24,10.38,9.85,9.15,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.3,0.99,1.19,2.24,1.49,1.66,1.04,0.52,0.05,9.8,9.6,9.6,9.5,9.2,9.1,9.0,8.6,9.0,8.9,8.7,9.0,9.2,9.6,10.0,10.7,11.4,12.0,13.3,13.3,13.3,13.5,13.1,12.9,4.77,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,1.85,1.85,1.85,4.77,4.77,4.77,4.77,4.77,1.85,1.85,1.85,4.77,4.77,4.77,4.77,8.13,8.13,8.13,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,8.13,8.13,8.13,28.0,16.0,18.0,25.33333333333333,25.0,24.0,32.0,36.0,40.0,38.0,38.0,42.0,40.0,32.0,22.0,24.0,34.0,32.0,36.0,35.5,40.0,36.66666666666666,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0725,0.0,0.0,0.0,-0.1046,-0.08,-0.0825,-0.1009,0.0,0.0,-0.1075,-0.065,0.0,0.0,0.0,-0.15,-0.085,-0.0525,0.0,0.0,0.0,-0.1025,-0.1225,-0.06,-0.065,-0.06,-0.065,-0.1375,-0.1075,-0.13,0.0,0.105,0.075,0.03,0.0675,0.0,0.0475,0.0675,0.085,0.045,0.0,0.0875,0.05,2.3
