time,batt_num
2024-05-01 10:17:15,15
2024-05-01 10:23:09,15
2024-05-01 10:54:15,17
2024-05-01 11:14:58,19
2024-05-01 11:42:16,15
2024-05-01 11:47:19,13
2024-05-01 12:15:17,17
2024-05-01 12:31:16,19
2024-05-01 12:42:27,21
2024-05-01 12:47:47,19
2024-05-01 13:00:17,21
2024-05-01 13:30:45,19
2024-05-01 13:47:28,17
2024-05-01 13:58:32,15
2024-05-01 14:14:18,15
2024-05-01 14:33:56,15
2024-05-01 14:58:29,9
2024-05-01 15:32:36,17
2024-05-01 15:42:37,19
2024-05-01 15:58:56,17
2024-05-01 16:17:31,17
2024-05-01 17:32:12,17
2024-05-01 17:49:35,13
2024-05-01 18:00:10,13
2024-05-01 18:21:25,13
2024-05-01 18:31:18,11
2024-05-01 19:28:53,9
2024-05-01 19:45:23,11
2024-05-01 20:02:36,9
2024-05-01 20:05:02,7
2024-05-01 20:15:03,7
2024-05-01 20:38:20,3
2024-05-01 21:56:26,7
2024-05-01 22:20:09,11
2024-05-01 22:50:11,11
2024-05-01 23:00:09,15
2024-05-01 23:27:37,13
2024-05-01 23:46:25,15
2024-05-02 00:01:35,15
2024-05-02 00:20:11,13
2024-05-02 00:20:39,41
2024-05-02 00:50:09,17
2024-05-02 01:01:38,15
2024-05-02 02:00:09,17
2024-05-02 02:15:08,17
2024-05-02 02:20:08,17
2024-05-02 02:25:08,17
2024-05-02 02:50:09,17
2024-05-02 03:37:34,19
2024-05-02 04:08:41,19
2024-05-02 04:35:07,47
2024-05-02 04:40:09,19
2024-05-02 04:50:08,47
2024-05-02 05:14:46,19
2024-05-02 05:30:10,19
2024-05-02 05:35:08,19
2024-05-02 05:50:09,19
2024-05-02 05:53:33,21
2024-05-02 06:10:09,47
2024-05-02 06:33:35,17
2024-05-02 06:51:28,17
2024-05-02 07:12:44,41
2024-05-02 07:22:51,17
2024-05-02 07:40:16,13
2024-05-02 07:52:43,11
2024-05-02 08:34:18,27
2024-05-02 08:49:17,5
2024-05-02 09:03:37,7
2024-05-02 09:20:55,3
2024-05-02 09:32:24,5
2024-05-02 09:40:46,3
2024-05-02 09:57:40,3
2024-05-02 10:07:42,3
2024-05-02 10:28:14,9
2024-05-02 11:01:41,5
2024-05-02 11:16:40,7
2024-05-02 11:32:48,11
2024-05-02 11:40:28,11
2024-05-02 12:17:12,15
2024-05-02 12:21:50,15
2024-05-02 12:48:43,11
2024-05-02 13:20:12,15
2024-05-02 13:38:38,13
2024-05-02 13:52:42,13
2024-05-02 14:06:50,15
2024-05-02 14:43:43,19
2024-05-02 15:40:26,15
2024-05-02 15:50:27,15
2024-05-02 16:18:11,11
2024-05-02 16:40:26,13
2024-05-02 17:13:28,11
2024-05-02 17:22:52,11
2024-05-02 17:23:20,9
2024-05-02 17:45:35,7
2024-05-02 17:52:09,7
2024-05-02 18:11:48,5
2024-05-02 18:25:35,1
2024-05-02 18:34:10,3
2024-05-02 19:08:45,5
2024-05-02 19:14:58,7
2024-05-02 19:39:54,7
2024-05-02 20:26:55,9
2024-05-02 20:30:54,9
2024-05-02 21:10:07,13
2024-05-02 21:41:59,13
2024-05-02 22:00:55,11
2024-05-02 22:22:40,5
2024-05-02 22:31:09,5
2024-05-02 22:33:00,5
2024-05-02 22:42:51,7
2024-05-02 22:44:58,7
2024-05-02 23:21:00,11
2024-05-02 23:39:52,11
2024-05-03 00:21:00,7
2024-05-03 00:31:07,9
2024-05-03 01:03:01,11
2024-05-03 01:20:01,11
2024-05-03 01:27:55,13
2024-05-03 01:43:06,15
2024-05-03 02:08:41,15
2024-05-03 02:10:54,15
2024-05-03 02:27:55,37
2024-05-03 03:04:56,17
2024-05-03 03:12:55,19
2024-05-03 03:18:05,19
2024-05-03 03:30:54,19
2024-05-03 04:17:44,17
2024-05-03 04:39:06,17
2024-05-03 05:10:53,17
2024-05-03 05:19:05,17
2024-05-03 05:24:30,15
2024-05-03 05:38:58,17
2024-05-03 06:08:42,15
2024-05-03 06:43:32,15
2024-05-03 07:04:15,15
2024-05-03 07:16:20,15
2024-05-03 08:01:08,13
2024-05-03 08:04:24,11
2024-05-03 08:09:08,7
2024-05-03 08:44:03,5
2024-05-03 08:59:00,5
2024-05-03 09:08:08,5
2024-05-03 10:04:02,-1
2024-05-03 10:30:11,3
2024-05-03 11:02:03,9
2024-05-03 11:40:05,13
2024-05-03 11:51:17,13
2024-05-03 13:14:24,5
2024-05-03 13:28:12,7
2024-05-03 13:44:14,5
2024-05-03 13:46:07,7
2024-05-03 13:50:12,7
2024-05-03 14:16:11,7
2024-05-03 14:26:13,7
2024-05-03 14:32:08,7
2024-05-03 14:42:07,7
2024-05-03 14:50:09,13
2024-05-03 14:54:36,13
2024-05-03 15:09:09,13
2024-05-03 15:11:16,13
2024-05-03 15:20:17,11
2024-05-03 16:04:35,11
2024-05-03 16:22:07,15
2024-05-03 16:22:59,13
2024-05-03 16:43:19,11
2024-05-03 16:49:17,11
2024-05-03 17:00:35,11
2024-05-03 17:06:09,9
2024-05-03 17:15:41,5
2024-05-03 17:37:59,3
2024-05-03 18:02:10,5
2024-05-03 18:17:11,3
2024-05-03 19:48:22,7
2024-05-03 19:57:08,11
2024-05-03 20:48:27,7
2024-05-03 20:51:19,5
2024-05-03 21:12:05,1
2024-05-03 21:31:17,1
2024-05-03 21:54:13,5
2024-05-03 21:57:14,7
2024-05-03 23:10:15,5
2024-05-03 23:20:18,5
2024-05-03 23:22:33,3
2024-05-03 23:49:26,5
2024-05-03 23:51:15,7
2024-05-04 00:22:20,9
2024-05-04 00:38:25,9
2024-05-04 01:24:24,13
2024-05-04 01:31:16,13
2024-05-04 01:44:28,15
2024-05-04 01:51:17,15
2024-05-04 02:01:16,15
2024-05-04 02:11:16,15
2024-05-04 02:15:25,17
2024-05-04 02:38:01,13
2024-05-04 02:52:21,17
2024-05-04 03:01:18,17
2024-05-04 03:11:17,17
2024-05-04 03:21:17,17
2024-05-04 03:26:03,17
2024-05-04 03:51:17,17
2024-05-04 03:54:34,17
2024-05-04 04:11:28,17
2024-05-04 04:13:23,15
2024-05-04 04:16:28,15
2024-05-04 04:17:28,17
2024-05-04 04:35:21,15
2024-05-04 04:37:37,15
2024-05-04 04:41:29,17
2024-05-04 04:45:32,15
2024-05-04 04:48:23,17
2024-05-04 04:49:22,15
2024-05-04 05:02:25,17
2024-05-04 05:41:16,17
2024-05-04 05:55:30,17
2024-05-04 06:41:17,13
2024-05-04 07:01:16,13
2024-05-04 07:11:17,11
2024-05-04 07:24:26,13
2024-05-04 07:41:32,15
2024-05-04 08:11:17,13
2024-05-04 08:19:34,35
2024-05-04 08:32:22,9
2024-05-04 09:09:26,9
2024-05-04 09:28:24,7
2024-05-04 09:39:54,7
2024-05-04 09:58:09,5
2024-05-04 10:29:29,7
2024-05-04 10:54:33,7
2024-05-04 11:04:33,9
2024-05-04 11:29:59,9
2024-05-04 11:33:32,7
2024-05-04 11:43:37,7
2024-05-04 11:59:35,7
2024-05-04 12:03:36,7
2024-05-04 12:17:59,9
2024-05-04 12:57:29,5
2024-05-04 13:07:30,5
2024-05-04 13:15:37,5
2024-05-04 13:34:30,5
2024-05-04 13:44:32,5
2024-05-04 14:00:37,9
2024-05-04 14:11:03,7
2024-05-04 14:15:31,9
2024-05-04 14:28:32,13
2024-05-04 14:41:06,11
2024-05-04 14:58:39,7
2024-05-04 15:20:06,9
2024-05-04 15:54:20,7
2024-05-04 16:40:03,11
2024-05-04 16:54:54,9
2024-05-04 17:10:04,9
2024-05-04 17:14:49,7
2024-05-04 17:24:53,7
2024-05-04 17:33:59,7
2024-05-04 17:53:01,5
2024-05-04 17:57:34,7
2024-05-04 18:40:48,7
2024-05-04 19:02:13,1
2024-05-04 19:15:04,1
2024-05-04 19:30:07,1
2024-05-04 19:36:34,3
2024-05-04 19:44:49,1
2024-05-04 19:54:56,1
2024-05-04 20:25:36,7
2024-05-04 21:42:25,33
2024-05-04 22:07:18,7
2024-05-04 22:16:48,5
2024-05-04 22:31:55,21
2024-05-04 23:18:51,5
2024-05-04 23:45:44,7
2024-05-05 00:18:50,7
2024-05-05 00:21:45,5
2024-05-05 00:51:53,5
2024-05-05 01:49:42,11
2024-05-05 02:22:58,13
2024-05-05 03:10:40,13
2024-05-05 03:32:49,13
2024-05-05 03:42:49,13
2024-05-05 04:22:49,13
2024-05-05 05:33:57,11
2024-05-05 06:21:15,13
2024-05-05 06:32:49,13
2024-05-05 08:37:13,11
2024-05-05 09:52:12,13
2024-05-05 10:02:10,13
2024-05-05 10:22:13,13
2024-05-05 10:35:34,11
2024-05-05 10:47:35,11
2024-05-05 11:15:22,9
2024-05-05 12:07:29,29
2024-05-05 12:17:32,3
2024-05-05 12:30:51,5
2024-05-05 12:37:37,5
2024-05-05 13:11:10,5
2024-05-05 13:31:22,31
2024-05-05 15:11:07,7
2024-05-05 17:22:29,13
2024-05-05 18:35:00,9
2024-05-05 18:40:43,9
2024-05-05 19:35:03,3
2024-05-05 20:30:26,3
2024-05-05 20:36:13,3
2024-05-05 21:10:00,7
2024-05-05 21:19:03,11
2024-05-05 21:29:12,9
2024-05-05 21:34:54,7
2024-05-05 21:49:38,7
2024-05-05 21:59:40,7
2024-05-05 22:40:02,7
2024-05-05 23:55:04,11
2024-05-06 01:18:28,13
2024-05-06 02:46:44,13
2024-05-06 02:47:53,13
2024-05-06 03:17:53,13
2024-05-06 03:31:18,45
2024-05-06 03:37:52,17
2024-05-06 04:41:10,17
2024-05-06 05:37:53,17
2024-05-06 08:18:50,1
2024-05-06 08:22:46,1
2024-05-06 08:49:02,1
2024-05-06 09:03:11,3
2024-05-06 09:10:31,3
2024-05-06 09:51:30,1
2024-05-06 11:46:27,7
2024-05-06 12:39:55,7
2024-05-06 13:02:16,3
2024-05-06 13:10:18,5
2024-05-06 13:20:18,11
2024-05-06 13:29:16,13
2024-05-06 13:32:18,15
2024-05-06 13:38:49,15
2024-05-06 13:47:18,17
2024-05-06 14:05:18,21
2024-05-06 14:18:50,23
2024-05-06 14:23:01,23
2024-05-06 14:25:28,23
2024-05-06 14:34:21,23
2024-05-06 15:06:12,23
2024-05-06 15:25:12,45
2024-05-06 15:39:56,17
2024-05-06 15:59:20,15
2024-05-06 16:08:29,15
2024-05-06 16:22:30,15
2024-05-06 16:24:58,15
2024-05-06 16:31:32,33
2024-05-06 16:44:19,17
2024-05-06 17:23:23,21
2024-05-06 17:59:13,17
2024-05-06 18:12:27,15
2024-05-06 18:13:22,13
2024-05-06 18:20:52,11
2024-05-06 19:05:31,11
2024-05-06 19:15:42,15
2024-05-06 20:42:28,23
2024-05-06 21:42:33,21
2024-05-06 22:18:29,15
2024-05-06 22:44:50,13
2024-05-06 23:07:45,13
2024-05-06 23:39:37,11
2024-05-06 23:41:26,13
2024-05-07 01:06:31,17
2024-05-07 01:47:46,25
2024-05-07 02:17:47,25
2024-05-07 02:57:47,27
2024-05-07 03:47:46,27
2024-05-07 04:07:47,25
2024-05-07 04:17:25,25
2024-05-07 04:17:47,25
2024-05-07 04:37:46,25
2024-05-07 06:01:42,27
2024-05-07 06:18:52,25
2024-05-07 06:37:46,25
2024-05-07 07:17:24,21
2024-05-07 07:17:46,21
2024-05-07 07:35:46,19
2024-05-07 07:46:11,17
2024-05-07 08:04:17,13
2024-05-07 08:09:48,11
2024-05-07 08:15:29,9
2024-05-07 08:18:52,9
2024-05-07 08:29:02,5
2024-05-07 08:39:55,3
2024-05-07 08:46:44,3
2024-05-07 09:01:36,9
2024-05-07 09:07:42,9
2024-05-07 09:15:37,13
2024-05-07 09:34:54,9
2024-05-07 09:55:37,11
2024-05-07 10:12:35,11
2024-05-07 10:21:36,11
2024-05-07 10:48:47,9
2024-05-07 10:52:14,9
2024-05-07 11:17:46,15
2024-05-07 12:01:47,15
2024-05-07 12:25:47,15
2024-05-07 12:52:15,11
2024-05-07 12:57:25,11
2024-05-07 13:09:48,13
2024-05-07 13:13:09,11
2024-05-07 13:33:41,15
2024-05-07 13:47:25,15
2024-05-07 13:53:49,15
2024-05-07 14:07:10,15
2024-05-07 14:18:45,13
2024-05-07 14:52:16,15
2024-05-07 15:22:14,15
2024-05-07 15:33:49,13
2024-05-07 16:04:56,15
2024-05-07 16:12:16,15
2024-05-07 16:27:49,17
2024-05-07 16:38:09,17
2024-05-07 16:42:25,15
2024-05-07 16:50:37,17
2024-05-07 16:55:40,15
2024-05-07 17:40:45,9
2024-05-07 17:50:48,9
2024-05-07 18:11:47,9
2024-05-07 18:19:15,5
2024-05-07 18:31:11,3
2024-05-07 19:14:46,17
2024-05-07 19:20:06,5
2024-05-07 19:45:48,11
2024-05-07 20:19:50,15
2024-05-07 20:24:14,13
2024-05-07 20:35:49,19
2024-05-07 20:48:30,17
2024-05-07 21:18:50,17
2024-05-07 21:27:09,15
2024-05-07 21:33:55,15
2024-05-07 21:46:46,13
2024-05-07 22:01:41,7
2024-05-07 22:44:39,25
2024-05-07 22:58:03,5
2024-05-07 23:16:25,5
2024-05-07 23:21:52,7
2024-05-07 23:41:54,7
2024-05-08 00:33:53,15
2024-05-08 00:49:58,15
2024-05-08 01:07:53,17
2024-05-08 01:24:38,17
2024-05-08 01:34:40,19
2024-05-08 01:54:39,19
2024-05-08 02:14:40,19
2024-05-08 02:24:39,19
2024-05-08 02:34:38,19
2024-05-08 02:44:40,21
2024-05-08 03:24:43,19
2024-05-08 03:44:25,17
2024-05-08 04:04:43,41
2024-05-08 04:24:44,17
2024-05-08 04:34:44,17
2024-05-08 04:54:43,17
2024-05-08 05:01:56,19
2024-05-08 05:14:28,21
2024-05-08 06:07:28,21
2024-05-08 06:26:13,23
